salon_id,salon_name,salon_name_kana,issues
3,東京目黒 高級セレブ熟女 恵比寿・中目黒・代官山ルーム,東京目黒 高級セレブ熟女,スペースあり
21,恵比寿 Carinna,Carinna,英語残り
36,JDスパ～女子大生エステ～恵比寿・代官山,JDスパ～女子大生エステ～,英語残り
47,CLUBマリア 恵比寿ルーム,CLUBマリア,英語残り
64,小悪魔Spa Tokyo 恵比寿ルーム,小悪魔スパ トーキョー,スペースあり
66,aroma vicca,アロマ ヴィッカ,スペースあり
73,&LS,&LS,英語残り
