prefecture_id,prefecture,seo_keyword,search_volume,our_slug,data_source_url,source_type,resolution,parent_group,nearby_areas,salon_count
8,茨城県,筑西 メンズエステ,480,chikusei,/tsukuba/chikusei-city/all/,city,unique,茨城西南（つくば・土浦）,茨城西南|坂東|石岡|常総|古河,5
8,茨城県,石岡 メンズエステ,210,ishioka,/tsukuba/ishioka-city/all/,city,unique,茨城西南（つくば・土浦）,茨城西南|坂東|筑西|常総|古河,1
8,茨城県,常総 メンズエステ,0,joso,/tsukuba/joso-city/all/,city,unique,茨城西南（つくば・土浦）,茨城西南|坂東|筑西|石岡|古河,1
8,茨城県,古河 メンズエステ,1300,koga,/tsukuba/koga-city/all/,city,unique,茨城西南（つくば・土浦）,茨城西南|坂東|筑西|石岡|常総,9
8,茨城県,守谷 メンズエステ,2400,moriya,/tsukuba/moriya-city/all/,city,unique,茨城西南（つくば・土浦）,茨城西南|坂東|筑西|石岡|常総,10
8,茨城県,龍ケ崎 メンズエステ,110,ryugasaki,/tsukuba/ryugasaki-city/all/,city,unique,茨城西南（つくば・土浦）,茨城西南|坂東|筑西|石岡|常総,4
8,茨城県,取手 メンズエステ,1600,toride,/tsukuba/toride-city/all/,city,unique,茨城西南（つくば・土浦）,茨城西南|坂東|筑西|石岡|常総,16
8,茨城県,土浦 メンズエステ,1900,tsuchiura,/tsukuba/tsuchiura-city/all/,city,unique,茨城西南（つくば・土浦）,茨城西南|坂東|筑西|石岡|常総,22
8,茨城県,つくば メンズエステ,9900,tsukuba,/tsukuba/tsukuba-city/all/,city,unique,茨城西南（つくば・土浦）,茨城西南|坂東|筑西|石岡|常総,39
8,茨城県,牛久 メンズエステ,880,ushiku,/tsukuba/ushiku-city/all/,city,unique,茨城西南（つくば・土浦）,茨城西南|坂東|筑西|石岡|常総,12
9,栃木県,栃木 メンズエステ,1000,tochigi,/tochigi/,parent_absorbed,absorbed: /tochigi/tochigi-city/all/,栃木・宇都宮,足利|那須塩原|大田原|小山|佐野,138
9,栃木県,足利 メンズエステ,590,ashikaga,/tochigi/ashikaga-city/all/,city,unique,栃木・宇都宮,栃木|那須塩原|大田原|小山|佐野,9
9,栃木県,那須塩原 メンズエステ,1600,nasushiobara,/tochigi/nasushiobara-city/all/,city,unique,栃木・宇都宮,栃木|足利|大田原|小山|佐野,8
9,栃木県,大田原 メンズエステ,210,otawara,/tochigi/otawara-city/all/,city,unique,栃木・宇都宮,栃木|足利|那須塩原|小山|佐野,4
9,栃木県,小山 メンズエステ,6600,oyama,/tochigi/oyama-city/all/,city,unique,栃木・宇都宮,栃木|足利|那須塩原|大田原|佐野,42
9,栃木県,佐野 メンズエステ,880,sano,/tochigi/sano-city/all/,city,unique,栃木・宇都宮,栃木|足利|那須塩原|大田原|小山,12
9,栃木県,宇都宮 メンズエステ,18100,utsunomiya,/tochigi/utsunomiya-city/all/,city,unique,栃木・宇都宮,栃木|足利|那須塩原|大田原|小山,74
10,群馬県,群馬 メンズエステ,6600,gunma,/gunma/,parent,unique,群馬・高崎,伊勢崎|桐生|前橋|太田|高崎,120
10,群馬県,伊勢崎 メンズエステ,5400,isezaki,/gunma/isezaki-city/all/,city,unique,群馬・高崎,群馬|桐生|前橋|太田|高崎,32
10,群馬県,桐生 メンズエステ,140,kiryu,/gunma/kiryu-city/all/,city,unique,群馬・高崎,群馬|伊勢崎|前橋|太田|高崎,1
10,群馬県,前橋 メンズエステ,2900,maebashi,/gunma/maebashi-city/all/,city,unique,群馬・高崎,群馬|伊勢崎|桐生|太田|高崎,33
10,群馬県,太田 メンズエステ,3600,ota,/gunma/ota-city/all/,city,unique,群馬・高崎,群馬|伊勢崎|桐生|前橋|高崎,27
10,群馬県,高崎 メンズエステ,9900,takasaki,/gunma/takasaki-city/all/,city,unique,群馬・高崎,群馬|伊勢崎|桐生|前橋|太田,57
10,群馬県,館林 メンズエステ,1900,tatebayashi,/gunma/tatebayashi-city/all/,city,unique,群馬・高崎,群馬|伊勢崎|桐生|前橋|太田,5
11,埼玉県,上尾 メンズエステ,2900,ageo,/ageo/,parent_absorbed,absorbed: /ageo/ageo-station/all/,上尾・宮原,北上尾|鴻巣|宮原|桶川|吹上,46
11,埼玉県,北上尾 メンズエステ,140,kitaageo,/ageo/kitaageo-station/all/,station,unique,上尾・宮原,上尾|鴻巣|宮原|桶川|吹上,1
11,埼玉県,鴻巣 メンズエステ,1300,konosu,/ageo/konosu-station/all/,station,unique,上尾・宮原,上尾|北上尾|宮原|桶川|吹上,6
11,埼玉県,宮原 メンズエステ,720,miyahara,/ageo/miyahara-station/all/,station,unique,上尾・宮原,上尾|北上尾|鴻巣|桶川|吹上,11
11,埼玉県,桶川 メンズエステ,720,okegawa,/ageo/okegawa-station/all/,station,unique,上尾・宮原,上尾|北上尾|鴻巣|宮原|吹上,4
11,埼玉県,吹上 メンズエステ,210,saitama-fukiage,/ageo/saitama-fukiage-station/all/,station_cross_pref,cross_prefecture,上尾・宮原,上尾|北上尾|鴻巣|宮原|桶川,1
11,埼玉県,川越 メンズエステ,9900,kawagoe,/kawagoe/,parent_absorbed,absorbed: /kawagoe/kawagoe-city/all/,川越・東松山,東松山|坂戸|鶴ヶ島,93
11,埼玉県,東松山 メンズエステ,1000,higashimatsuyama,/kawagoe/higashimatsuyama-city/all/,city,unique,川越・東松山,川越|坂戸|鶴ヶ島,7
11,埼玉県,坂戸 メンズエステ,1900,sakado,/kawagoe/sakado-city/all/,city,unique,川越・東松山,川越|東松山|鶴ヶ島,16
11,埼玉県,鶴ヶ島 メンズエステ,1600,tsurugashima,/kawagoe/tsurugashima-city/all/,city,unique,川越・東松山,川越|東松山|坂戸,17
11,埼玉県,越谷 メンズエステ,5400,koshigaya,/koshigaya/,parent_absorbed,absorbed: /koshigaya/koshigaya-station/all/,越谷・春日部,蒲生|蓮田|春日部|加須|北越谷,105
11,埼玉県,蒲生 メンズエステ,140,gamou,/koshigaya/gamou-station/all/,station,unique,越谷・春日部,越谷|蓮田|春日部|加須|北越谷,2
11,埼玉県,蓮田 メンズエステ,1000,hasuda,/koshigaya/hasuda-city/all/,city,unique,越谷・春日部,越谷|蒲生|春日部|加須|北越谷,2
11,埼玉県,春日部 メンズエステ,4400,kasukabe,/koshigaya/kasukabe-station/all/,station,unique,越谷・春日部,越谷|蒲生|蓮田|加須|北越谷,28
11,埼玉県,加須 メンズエステ,140,kazo,/koshigaya/kazo-city/all/,city,unique,越谷・春日部,越谷|蒲生|蓮田|春日部|北越谷,1
11,埼玉県,北越谷 メンズエステ,170,kitakoshigaya,/koshigaya/kitakoshigaya-station/all/,station,unique,越谷・春日部,越谷|蒲生|蓮田|春日部|加須,5
11,埼玉県,久喜 メンズエステ,5400,kuki,/koshigaya/kuki-city/all/,city,unique,越谷・春日部,越谷|蒲生|蓮田|春日部|加須,23
11,埼玉県,幸手 メンズエステ,110,satte,/koshigaya/satte-city/all/,city,unique,越谷・春日部,越谷|蒲生|蓮田|春日部|加須,2
11,埼玉県,せんげん台 メンズエステ,390,sengendai,/koshigaya/sengendai-station/all/,station,unique,越谷・春日部,越谷|蒲生|蓮田|春日部|加須,5
11,埼玉県,新越谷 メンズエステ,1300,shinkoshigaya,/koshigaya/shinkoshigaya-station/all/,station,unique,越谷・春日部,越谷|蒲生|蓮田|春日部|加須,43
11,埼玉県,吉川 メンズエステ,90,yoshikawa,/koshigaya/yoshikawa-city/all/,city,unique,越谷・春日部,越谷|蒲生|蓮田|春日部|加須,2
